
q1=187.15, q2=287.76

q1=99.35, q2=179.95

q1=51.28, q2=133.60

q1=30.28, q2=105.66

q1=57.20, q2=143.32

q1=65.18, q2=135.28

q1=69.08, q2=147.09

q1=179.89, q2=266.67

q1=-39.86, q2=57.23

q1=110.54, q2=191.77

q1=87.45, q2=175.78

q1=68.17, q2=140.21

q1=107.33, q2=188.33

q1=-6.13, q2=92.16

q1=170.05, q2=248.26

q1=-23.04, q2=71.22

q1=61.25, q2=139.35

q1=17.48, q2=95.80

q1=-56.06, q2=36.81

q1=119.42, q2=190.73

q1=22.86, q2=130.18

q1=184.52, q2=299.99

q1=7.26, q2=114.00

q1=-10.33, q2=72.68

q1=31.92, q2=113.15

q1=28.35, q2=107.81

q1=119.97, q2=232.33

q1=98.32, q2=180.94

q1=150.20, q2=255.90

q1=-22.47, q2=71.79

q1=8.50, q2=95.46

q1=-8.53, q2=103.82

q1=160.60, q2=244.72

q1=45.22, q2=115.91

q1=123.68, q2=210.25

q1=130.52, q2=239.87

q1=46.23, q2=138.59

q1=16.34, q2=94.67

q1=-41.40, q2=75.93

q1=69.90, q2=161.92

q1=102.34, q2=208.29

q1=103.32, q2=184.11

q1=136.83, q2=217.97

q1=148.38, q2=232.99

q1=38.37, q2=115.32

q1=96.29, q2=174.72

q1=-39.60, q2=41.21

q1=30.32, q2=105.70

q1=42.21, q2=150.48
