step, m1, m2, b1, b2


1, -1.7320508075688767, -1.7320508075688787, 120.02816622064792, 284.02816622064796
2, -1.7320508075688774, -1.732050807568878, 87.18584287042088, 299.18584287042097
3, -1.7320508075688774, -1.732050807568878, 87.18584287042088, 299.18584287042097
4, -1.7320508075688785, -1.7320508075688783, 100.48711305964288, 272.4871130596428
5, -1.7320508075688776, -1.732050807568876, 119.70250336881632, 259.7025033688161
6, -1.7320508075688774, -1.7320508075688772, 119.22431864335464, 283.2243186433546
7, -1.7320508075688783, -1.732050807568878, 130.1525218736301, 270.1525218736301
8, -1.7320508075688785, -1.7320508075688779, 98.21916386721172, 274.21916386721176
9, -1.732050807568878, -1.7320508075688796, 115.70250336881634, 263.7025033688164
10, -1.7320508075688772, -1.7320508075688779, 101.84609690826531, 281.84609690826534
11, -1.7320508075688796, -1.7320508075688787, 108.09480821422963, 268.0948082142296
12, -1.7320508075688774, -1.7320508075688763, 113.7025033688163, 265.7025033688163
13, -1.732050807568877, -1.7320508075688785, 117.88457268119895, 281.884572681199
14, -1.732050807568879, -1.7320508075688787, 119.49226783578573, 283.4922678357858
15, -1.7320508075688779, -1.7320508075688763, 105.70250336881634, 273.7025033688163
16, -1.732050807568876, -1.7320508075688779, 101.29096063693618, 273.2909606369362
17, -1.732050807568877, -1.7320508075688785, 115.86533479473214, 275.86533479473223
18, -1.7320508075688774, -1.7320508075688785, 103.2050807568878, 291.2050807568878
19, -1.7320508075688783, -1.732050807568879, 116.11404610069646, 268.1140461006965
20, -1.7320508075688776, -1.732050807568876, 131.7602170282168, 271.7602170282167
21, -1.7320508075688796, -1.7320508075688772, 117.84609690826537, 265.84609690826534
22, -1.7320508075688779, -1.7320508075688787, 110.89865579152296, 266.898655791523
23, -1.732050807568877, -1.7320508075688756, 126.81277591147446, 270.8127759114743
24, -1.7320508075688772, -1.7320508075688792, 116.4012331795944, 276.40123317959456
25, -1.7320508075688796, -1.7320508075688787, 108.09480821422963, 268.0948082142296
26, -1.7320508075688792, -1.732050807568877, 90.23840175367856, 290.23840175367854
27, -1.732050807568878, -1.7320508075688796, 106.48711305964285, 266.487113059643
28, -1.7320508075688785, -1.7320508075688772, 118.0948082142296, 258.0948082142296
29, -1.732050807568878, -1.7320508075688763, 116.00892833418114, 280.00892833418106
30, -1.732050807568878, -1.7320508075688763, 129.49226783578575, 273.4922678357855
31, -1.7320508075688772, -1.7320508075688779, 101.84609690826531, 281.84609690826534
32, -1.7320508075688772, -1.7320508075688752, 81.97045256124743, 297.9704525612472
33, -1.7320508075688763, -1.7320508075688765, 122.9563694509234, 278.9563694509233
34, -1.7320508075688787, -1.7320508075688776, 93.31019852340307, 289.3101985234031
35, -1.7320508075688779, -1.732050807568876, 111.82685902179844, 263.8268590217983
36, -1.732050807568878, -1.7320508075688765, 115.82685902179848, 259.8268590217984
37, -1.7320508075688779, -1.732050807568877, 99.74097914175, 295.74097914174996
38, -1.732050807568878, -1.7320508075688765, 111.61662348876786, 287.6166234887679
39, -1.7320508075688774, -1.7320508075688772, 116.7935380250076, 272.79353802500765
40, -1.7320508075688772, -1.732050807568879, 108.38199529312756, 276.38199529312755
