step, m1, m2, b1, b2

1, -0.9999999999999999, -1.0000000000000009, 73.85786437626903, 170.02438661763958
2, -0.9999999999999999, -0.9999999999999999, 84.0, 163.19595949289328
3, -1.0, -1.0000000000000009, 59.87510831897214, 147.55634918610406
4, -1.0000000000000004, -1.0000000000000004, 82.68629150101525, 156.22539674441623
5, -1.0, -1.0, 53.46089475659906, 158.11269837220811
6, -1.0000000000000002, -1.0000000000000007, 59.360389693210735, 155.52691193458116
7, -1.0000000000000002, -0.9999999999999993, 64.53196256846452, 143.7279220613578
8, -1.0000000000000002, -1.0000000000000009, 56.916738879314764, 172.88225099390857
9, -1.0000000000000002, -1.000000000000001, 56.56139981998737, 144.2426406871193
10, -1.0000000000000002, -0.999999999999999, 85.4142135623731, 161.78174593052023
11, -0.9999999999999996, -1.0, 81.75735931288068, 163.78174593052023
12, -0.9999999999999999, -0.9999999999999999, 84.0, 163.19595949289328
13, -0.9999999999999997, -1.0000000000000004, 57.80404050710666, 145.4852813742386
14, -1.0000000000000002, -1.0000000000000002, 78.34314575050765, 168.85281374238568
15, -1.0000000000000002, -1.0000000000000002, 70.64466094067264, 158.32590180780454
16, -1.0000000000000002, -1.0000000000000013, 77.75735931288074, 171.0954544295051
17, -1.0, -1.0000000000000004, 71.91673887931478, 145.45584412271575
18, -1.0000000000000004, -1.0000000000000004, 81.85786437626906, 155.39696961967
19, -1.0000000000000004, -1.000000000000001, 61.87510831897214, 143.89949493661172
20, -1.0, -1.0000000000000007, 56.0172439427031, 166.32590180780454
21, -1.0000000000000009, -1.0000000000000013, 80.85786437626906, 157.2253967444163
22, -1.0000000000000004, -0.9999999999999998, 59.46089475659906, 147.14213562373095
23, -1.0000000000000004, -0.9999999999999996, 62.117749006091444, 146.9705627484771
24, -1.0000000000000007, -1.0000000000000007, 49.21825406947979, 162.3553390593274
25, -1.0000000000000009, -1.0000000000000007, 67.50252531694171, 152.3553390593274
26, -1.0000000000000007, -1.0000000000000002, 54.28932188134525, 158.94112549695436
27, -0.9999999999999999, -1.0000000000000004, 56.87510831897214, 153.0416305603426
28, -0.9999999999999996, -0.9999999999999997, 76.12994231491115, 155.32590180780446
29, -0.9999999999999999, -0.9999999999999996, 76.95836943965733, 156.15432893255064
30, -0.9999999999999997, -1.0000000000000004, 60.230447378299516, 176.19595949289345
31, -1.0000000000000004, -1.0, 66.74516600406096, 157.25483399593907
32, -1.0, -0.9999999999999992, 75.68629150101523, 169.02438661763946
33, -1.0000000000000002, -1.0000000000000004, 53.43145750507618, 172.2253967444162
34, -1.0000000000000007, -1.0000000000000002, 68.98780669118027, 156.66904755831214
35, -1.0, -1.000000000000001, 56.80404050710667, 147.31370849898482
36, -1.0, -1.0000000000000009, 78.92893218813452, 166.61017305526653
37, -1.0000000000000002, -0.9999999999999998, 71.15937956643407, 150.3553390593274
38, -1.0000000000000004, -1.0000000000000009, 76.51471862576142, 169.8528137423857
39, -1.0000000000000004, -0.9999999999999994, 56.21825406947978, 149.556349186104
40, -1.0000000000000007, -1.0, 61.703535443718366, 146.556349186104
41, -1.0000000000000002, -0.999999999999999, 85.4142135623731, 161.78174593052023
42, -0.9999999999999999, -0.9999999999999998, 55.147186257614294, 145.65685424949237
43, -0.9999999999999999, -0.9999999999999998, 58.74516600406098, 171.88225099390846
44, -1.0, -0.9999999999999992, 62.46089475659905, 141.6568542494923
45, -1.0, -1.0000000000000009, 59.87510831897214, 147.55634918610406
46, -1.0000000000000007, -1.0000000000000009, 75.78679656440359, 160.63961030678934
47, -1.0000000000000004, -1.0000000000000004, 78.51471862576145, 166.1959594928933
48, -0.9999999999999997, -1.0000000000000007, 79.68629150101523, 161.71067811865478
49, -1.0, -1.0000000000000009, 59.87510831897214, 147.55634918610406
50, -1.0000000000000002, -0.9999999999999991, 45.38982694473358, 167.0121933088197
51, -1.000000000000001, -1.000000000000001, 81.34314575050765, 163.3675323681472
52, -1.0000000000000002, -0.9999999999999993, 64.53196256846452, 143.7279220613578
53, -1.0000000000000002, -0.9999999999999998, 66.53196256846452, 140.07106781186545
54, -1.0000000000000004, -1.0000000000000004, 74.40202025355336, 147.9411254969543
55, -1.0, -1.0000000000000009, 49.117749006091444, 170.74011537017768
56, -1.0000000000000007, -0.9999999999999999, 83.00000000000006, 165.0243866176395
57, -1.0, -1.0000000000000002, 81.2720779386421, 157.6396103067893
58, -1.0000000000000002, -1.0000000000000007, 66.47308806541878, 168.29646455628168
59, -1.0000000000000002, -1.0000000000000004, 69.57359312880718, 154.42640687119288
60, -1.0000000000000002, -1.0000000000000004, 73.98780669118025, 147.52691193458125
61, -1.0000000000000002, -1.0, 69.67409819219552, 146.0416305603426
62, -1.0000000000000002, -1.0, 64.91673887931475, 158.254833995939
63, -1.0000000000000002, -0.9999999999999998, 60.46089475659906, 145.31370849898485
64, -0.9999999999999999, -1.0000000000000009, 56.63246763185287, 149.97056274847714
65, -1.0000000000000002, -1.0000000000000007, 55.84567106744932, 168.98275605729694
66, -1.0, -1.0000000000000009, 57.53196256846453, 156.5269119345813
67, -1.0, -1.0, 71.7157287525381, 162.22539674441623
68, -1.0000000000000002, -0.9999999999999994, 50.18881681795691, 174.63961030678925
69, -1.0000000000000002, -0.9999999999999996, 56.975613382360486, 144.6568542494923
70, -1.0000000000000002, -1.0000000000000002, 77.51471862576146, 168.02438661763952
71, -0.9999999999999999, -1.0000000000000002, 64.15937956643404, 163.1543289325508
72, -1.0000000000000004, -1.0000000000000004, 74.40202025355336, 147.9411254969543
73, -1.0, -1.000000000000001, 61.632467631852876, 140.82842712474627
74, -1.0, -0.9999999999999998, 68.67409819219544, 147.87005768508885
75, -1.0000000000000002, -1.0000000000000004, 87.65685424949237, 161.1959594928933
76, -1.0000000000000004, -0.9999999999999998, 54.70353544371835, 159.3553390593274
77, -1.0000000000000007, -0.9999999999999988, 56.159379566434055, 177.78174593052017
78, -0.9999999999999997, -1.0000000000000004, 59.987806691180246, 173.12489168102783
79, -0.9999999999999999, -1.0, 76.27207793864213, 166.78174593052026
80, -0.9999999999999999, -0.9999999999999996, 62.2893218813452, 144.31370849898474
81, -1.0000000000000002, -1.0, 51.845671067449324, 176.29646455628168
82, -1.0, -0.9999999999999991, 71.30151519016503, 161.81118318204307
83, -1.0000000000000002, -1.0000000000000007, 77.71572875253811, 151.2548339959391
84, -1.0000000000000004, -1.0000000000000004, 56.987806691180246, 178.61017305526647
