step, m1, m2, b1, b2


1, -2.14450692050956, -2.144506920509559, 181.92088971371328, 286.0337593724231
2, -2.14450692050956, -2.144506920509559, 158.84714261931381, 319.74885027368384
3, -2.1445069205095595, -2.144506920509558, 173.78625135696092, 296.8287336808908
4, -2.144506920509556, -2.14450692050956, 155.8882967541523, 326.2548107411324
5, -2.1445069205095577, -2.1445069205095586, 179.47787287975743, 297.7879520373824
6, -2.1445069205095577, -2.1445069205095595, 171.6373688915679, 313.60946388071784
7, -2.144506920509559, -2.144506920509559, 178.36939956654282, 296.6794787241677
8, -2.144506920509557, -2.1445069205095573, 170.45645587243334, 307.69614769527817
9, -2.144506920509558, -2.1445069205095595, 185.39556461008036, 284.77603110248543
10, -2.1445069205095573, -2.1445069205095577, 150.04742027463263, 329.8787405942225
11, -2.1445069205095555, -2.1445069205095595, 175.4829934073011, 307.99028206384116
12, -2.144506920509557, -2.1445069205095577, 188.71660900484105, 302.29428499616097
13, -2.144506920509558, -2.1445069205095586, 186.35040742168866, 304.6604865793135
14, -2.1445069205095595, -2.144506920509556, 144.577493414479, 329.14121690037365
15, -2.1445069205095613, -2.1445069205095586, 162.10012285303816, 318.26942734110287
16, -2.1445069205095555, -2.1445069205095595, 175.4829934073011, 307.99028206384116
17, -2.144506920509558, -2.144506920509558, 189.97433727477897, 298.81961009979386
18, -2.1445069205095604, -2.1445069205095604, 183.46837680733051, 301.7784559649555
19, -2.144506920509559, -2.144506920509561, 163.80124044826178, 315.23814177002174
20, -2.1445069205095577, -2.1445069205095595, 148.12460801676602, 332.68833150266084
21, -2.144506920509559, -2.144506920509559, 180.28783627952598, 308.0627217697609
22, -2.144506920509559, -2.144506920509558, 175.92638273258706, 308.4336713891269
23, -2.144506920509561, -2.144506920509559, 184.06539663422288, 283.4458631266277
24, -2.144506920509559, -2.1445069205095573, 151.0834538819275, 326.1823710352123
25, -2.1445069205095577, -2.1445069205095573, 160.47144496373423, 326.105555784409
26, -2.1445069205095577, -2.1445069205095595, 161.50747857102905, 322.4091862253989
27, -2.144506920509558, -2.1445069205095604, 150.64006455664165, 325.7389817099266
28, -2.144506920509559, -2.14450692050956, 178.73597364102537, 306.5108591312604
29, -2.1445069205095577, -2.144506920509559, 187.82983035426935, 301.4075063455893
30, -2.1445069205095577, -2.1445069205095595, 151.30514854457041, 326.4040656978553
31, -2.144506920509559, -2.14450692050956, 178.73597364102537, 306.5108591312604
32, -2.1445069205095573, -2.1445069205095573, 178.74034918590877, 292.31802517722855
33, -2.1445069205095613, -2.1445069205095586, 154.48568907237495, 320.11979989304984
34, -2.1445069205095604, -2.144506920509557, 186.7257325859381, 286.1061990783428
35, -2.1445069205095586, -2.1445069205095595, 178.44183927246266, 301.48432159639253
36, -2.1445069205095586, -2.14450692050956, 163.20859616625285, 319.3779006543178
37, -2.144506920509558, -2.144506920509558, 151.00663863112425, 335.57036211701916
38, -2.14450692050956, -2.14450692050956, 155.22321276622353, 325.5897267532035
39, -2.144506920509559, -2.1445069205095586, 188.49491434219817, 302.0725903335182
40, -2.144506920509558, -2.1445069205095577, 156.2592463735183, 321.89335719419324
